"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AIM/CGE","Baseline","Japan","Consumption","billion US$2005/yr",3332.6753,3321.0148,3547.1019,3722.7924,3927.1775,4117.1342,4259.1119,4372.2664,4494.7942,4613.5262
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry","Mt CO2/yr",1344.8901,1313.8158,1410.1032,1325.9093,1313.3386,1324.2087,1332.8585,1320.0074,1299.4365,1283.3384
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand","Mt CO2/yr",775.6854,724.2224,716.9408,691.0268,676.2208,670.0102,661.6757,647.7662,629.6485,611.2241
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Agriculture","Mt CO2/yr",11.8112,11.509,10.7648,10.2908,9.5783,9.0824,8.5848,8.1169,7.6223,7.138
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry","Mt CO2/yr",325.0218,290.1119,273.7013,248.8767,229.085,218.1926,208.9953,198.9408,188.882,180.284
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial","Mt CO2/yr",186.6223,175.3625,179.5778,174.1749,173.0305,173.3713,173.4908,171.1038,166.1349,160.8914
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation","Mt CO2/yr",252.2301,247.2391,252.8969,257.6845,264.527,269.364,270.6049,269.6047,267.0093,262.9107
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Supply","Mt CO2/yr",512.1683,533.8534,637.3221,579.2279,581.6339,598.7977,616.1089,617.6327,615.5874,618.3184
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity","Mt CO2/yr",401.8424,426.9188,527.06,470.8592,473.1258,489.3102,506.3299,508.8182,508.6596,513.4122
"AIM/CGE","Baseline","Japan","Emissions|CO2|Fossil Fuels and Industry|Industrial Processes","Mt CO2/yr",57.0365,55.74,55.8402,55.6546,55.4839,55.4008,55.0739,54.6085,54.2007,53.7959
"AIM/CGE","Baseline","Japan","Emissions|Kyoto Gases","Mt CO2-equiv/yr",1456.0859,1462.9941,1632.2311,1504.4383,1487.5691,1498.0075,1504.2497,1488.4292,1464.418,1444.8258
"AIM/CGE","Baseline","Japan","Final Energy","EJ/yr",14.3179,13.7865,13.6411,13.6449,13.5145,13.5193,13.4049,13.2527,13.0967,12.9151
"AIM/CGE","Baseline","Japan","Final Energy|Commercial","EJ/yr",2.7609,2.6828,2.6575,2.6941,2.6631,2.6792,2.6651,2.6447,2.6266,2.6012
"AIM/CGE","Baseline","Japan","Final Energy|Electricity","EJ/yr",3.4475,3.5446,3.4321,3.6691,3.6813,3.729,3.7053,3.7248,3.8108,3.8881
"AIM/CGE","Baseline","Japan","Final Energy|Gases","EJ/yr",1.1678,1.1148,1.1667,1.1198,1.1047,1.1058,1.1012,1.0764,1.0449,1.0152
"AIM/CGE","Baseline","Japan","Final Energy|Heat","EJ/yr",0.0245,0.0252,0.0245,0.0263,0.0265,0.0269,0.0268,0.027,0.0275,0.028
"AIM/CGE","Baseline","Japan","Final Energy|Industry","EJ/yr",5.7814,5.3942,5.0996,4.9115,4.6377,4.4921,4.3326,4.1755,4.0249,3.878
"AIM/CGE","Baseline","Japan","Final Energy|Liquids","EJ/yr",8.3003,7.9514,8.0136,7.9603,7.9527,7.9845,7.9629,7.8758,7.7157,7.5277
"AIM/CGE","Baseline","Japan","Final Energy|Residential","EJ/yr",2.2339,2.2471,2.3251,2.4056,2.4788,2.5349,2.5609,2.5777,2.5954,2.6053
"AIM/CGE","Baseline","Japan","Final Energy|Residential and Commercial","EJ/yr",4.9948,4.9299,4.9826,5.0997,5.1419,5.2141,5.226,5.2224,5.222,5.2065
"AIM/CGE","Baseline","Japan","Final Energy|Solids","EJ/yr",1.3777,1.1506,1.0042,0.8694,0.7493,0.6731,0.6088,0.5487,0.4977,0.4561
"AIM/CGE","Baseline","Japan","Final Energy|Solids|Biomass","EJ/yr",0.1068,0.0951,0.0899,0.0835,0.0781,0.0729,0.0673,0.0618,0.0568,0.0522
"AIM/CGE","Baseline","Japan","Final Energy|Solids|Coal","EJ/yr",1.2709,1.0555,0.9143,0.7859,0.6712,0.6002,0.5415,0.4869,0.441,0.404
"AIM/CGE","Baseline","Japan","Final Energy|Transportation","EJ/yr",3.5416,3.4624,3.5589,3.6336,3.7349,3.8131,3.8463,3.8547,3.8498,3.8307
"AIM/CGE","Baseline","Japan","GDP|MER","billion US$2005/yr",4453.0615,4437.4811,4732.4516,4960.8284,5226.5035,5472.6157,5656.4161,5802.2624,5961.3645,6115.7097
"AIM/CGE","Baseline","Japan","GDP|PPP","billion US$2005/yr",3788.6466,3775.3908,4026.3505,4220.6526,4446.6878,4656.0791,4812.4557,4936.5412,5071.9046,5203.2209
"AIM/CGE","Baseline","Japan","Population","million",126.3929,126.5359,126.1045,124.8125,122.8502,120.4098,117.6703,114.7544,111.7079,108.6087
"AIM/CGE","Baseline","Japan","Price|Primary Energy|Coal","US$2005/GJ",2.9932,2.8843,2.8061,2.7275,2.6592,2.5987,2.5527,2.5084,2.4611,2.4115
"AIM/CGE","Baseline","Japan","Price|Primary Energy|Gas","US$2005/GJ",10.6812,11.0466,11.386,11.7661,12.056,12.3049,12.795,13.3972,14.0272,14.735
"AIM/CGE","Baseline","Japan","Price|Primary Energy|Oil","US$2005/GJ",8.1528,8.0619,8.0203,7.9307,7.7983,7.6793,7.5833,7.4916,7.4953,7.5388
"AIM/CGE","Baseline","Japan","Price|Secondary Energy|Electricity","US$2005/GJ",50.9911,48.1636,49.9618,46.6388,45.8308,45.3384,45.6455,45.2592,44.3239,43.6835
"AIM/CGE","Baseline","Japan","Primary Energy","EJ/yr",19.6547,19.2185,19.8542,19.3985,19.2548,19.3732,19.359,19.1809,18.9712,18.7712
"AIM/CGE","Baseline","Japan","Primary Energy|Biomass","EJ/yr",0.2861,0.267,0.3387,0.367,0.3926,0.4215,0.4528,0.4781,0.5051,0.5362
"AIM/CGE","Baseline","Japan","Primary Energy|Biomass|w/o CCS","EJ/yr",0.2861,0.267,0.3387,0.367,0.3926,0.4215,0.4528,0.4781,0.5051,0.5362
"AIM/CGE","Baseline","Japan","Primary Energy|Coal","EJ/yr",4.7603,4.7202,5.2576,4.7831,4.6972,4.756,4.8465,4.8424,4.8293,4.8658
"AIM/CGE","Baseline","Japan","Primary Energy|Coal|w/o CCS","EJ/yr",4.7603,4.7202,5.2576,4.7831,4.6972,4.756,4.8465,4.8424,4.8293,4.8658
"AIM/CGE","Baseline","Japan","Primary Energy|Gas","EJ/yr",2.9401,2.9279,3.3874,3.0128,2.9526,2.972,2.9556,2.8479,2.7272,2.6211
"AIM/CGE","Baseline","Japan","Primary Energy|Gas|w/o CCS","EJ/yr",2.9401,2.9279,3.3874,3.0128,2.9526,2.972,2.9556,2.8479,2.7272,2.6211
